/kiss/odometry/header/stamp/sec,/kiss/odometry/header/stamp/nanosec,/kiss/odometry/pose/pose/position/x,/kiss/odometry/pose/pose/position/y,/kiss/odometry/pose/pose/position/z,/kiss/odometry/pose/pose/orientation/x,/kiss/odometry/pose/pose/orientation/y,/kiss/odometry/pose/pose/orientation/z,/kiss/odometry/pose/pose/orientation/w,/kiss/odometry/pose/covariance[0],/kiss/odometry/pose/covariance[1],/kiss/odometry/pose/covariance[2],/kiss/odometry/pose/covariance[3],/kiss/odometry/pose/covariance[4],/kiss/odometry/pose/covariance[5],/kiss/odometry/pose/covariance[6],/kiss/odometry/pose/covariance[7],/kiss/odometry/pose/covariance[8],/kiss/odometry/pose/covariance[9],/kiss/odometry/pose/covariance[10],/kiss/odometry/pose/covariance[11],/kiss/odometry/pose/covariance[12],/kiss/odometry/pose/covariance[13],/kiss/odometry/pose/covariance[14],/kiss/odometry/pose/covariance[15],/kiss/odometry/pose/covariance[16],/kiss/odometry/pose/covariance[17],/kiss/odometry/pose/covariance[18],/kiss/odometry/pose/covariance[19],/kiss/odometry/pose/covariance[20],/kiss/odometry/pose/covariance[21],/kiss/odometry/pose/covariance[22],/kiss/odometry/pose/covariance[23],/kiss/odometry/pose/covariance[24],/kiss/odometry/pose/covariance[25],/kiss/odometry/pose/covariance[26],/kiss/odometry/pose/covariance[27],/kiss/odometry/pose/covariance[28],/kiss/odometry/pose/covariance[29],/kiss/odometry/pose/covariance[30],/kiss/odometry/pose/covariance[31],/kiss/odometry/pose/covariance[32],/kiss/odometry/pose/covariance[33],/kiss/odometry/pose/covariance[34],/kiss/odometry/pose/covariance[35],/kiss/odometry/twist/twist/linear/x,/kiss/odometry/twist/twist/linear/y,/kiss/odometry/twist/twist/linear/z,/kiss/odometry/twist/twist/angular/x,/kiss/odometry/twist/twist/angular/y,/kiss/odometry/twist/twist/angular/z,/kiss/odometry/twist/covariance[0],/kiss/odometry/twist/covariance[1],/kiss/odometry/twist/covariance[2],/kiss/odometry/twist/covariance[3],/kiss/odometry/twist/covariance[4],/kiss/odometry/twist/covariance[5],/kiss/odometry/twist/covariance[6],/kiss/odometry/twist/covariance[7],/kiss/odometry/twist/covariance[8],/kiss/odometry/twist/covariance[9],/kiss/odometry/twist/covariance[10],/kiss/odometry/twist/covariance[11],/kiss/odometry/twist/covariance[12],/kiss/odometry/twist/covariance[13],/kiss/odometry/twist/covariance[14],/kiss/odometry/twist/covariance[15],/kiss/odometry/twist/covariance[16],/kiss/odometry/twist/covariance[17],/kiss/odometry/twist/covariance[18],/kiss/odometry/twist/covariance[19],/kiss/odometry/twist/covariance[20],/kiss/odometry/twist/covariance[21],/kiss/odometry/twist/covariance[22],/kiss/odometry/twist/covariance[23],/kiss/odometry/twist/covariance[24],/kiss/odometry/twist/covariance[25],/kiss/odometry/twist/covariance[26],/kiss/odometry/twist/covariance[27],/kiss/odometry/twist/covariance[28],/kiss/odometry/twist/covariance[29],/kiss/odometry/twist/covariance[30],/kiss/odometry/twist/covariance[31],/kiss/odometry/twist/covariance[32],/kiss/odometry/twist/covariance[33],/kiss/odometry/twist/covariance[34],/kiss/odometry/twist/covariance[35],/kiss/odometry/header/frame_id,/kiss/odometry/child_frame_id,
165,2.09e+08,-12.7704,-32.2304,7.14025,0.00775171,0.0078567,-0.217738,0.975945,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lidar_odom,robot0/base_link,
165,4.06e+08,-13.4346,-35.124,7.15643,0.00756346,0.00767944,-0.239102,0.970935,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lidar_odom,robot0/base_link,
165,6.03e+08,-14.225,-37.9857,7.17473,0.00737157,0.00749848,-0.260351,0.965457,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lidar_odom,robot0/base_link,
165,7.99e+08,-15.1403,-40.8099,7.19516,0.00717614,0.00731391,-0.281475,0.959514,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lidar_odom,robot0/base_link,
166,9e+06,-16.1786,-43.5912,7.2177,0.00697724,0.00712581,-0.302463,0.953109,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lidar_odom,robot0/base_link,
166,2.15e+08,-17.3378,-46.3243,7.24234,0.00677499,0.00693429,-0.323305,0.946245,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lidar_odom,robot0/base_link,
166,4.13e+08,-18.6159,-49.0039,7.26905,0.00656947,0.00673942,-0.343992,0.938925,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lidar_odom,robot0/base_link,
166,6.14e+08,-20.0103,-51.6248,7.29783,0.00636079,0.00654131,-0.364513,0.931154,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lidar_odom,robot0/base_link,
166,8.14e+08,-21.5183,-54.182,7.32864,0.00614905,0.00634005,-0.384859,0.922933,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lidar_odom,robot0/base_link,
166,9.48e+08,-23.1371,-56.6706,7.36144,0.00593434,0.00613574,-0.405019,0.914269,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lidar_odom,robot0/base_link,
