/real_pose/header/stamp/sec,/real_pose/header/stamp/nanosec,/real_pose/pose/position/x,/real_pose/pose/position/y,/real_pose/pose/position/z,/real_pose/pose/orientation/x,/real_pose/pose/orientation/y,/real_pose/pose/orientation/z,/real_pose/pose/orientation/w,/real_pose/header/frame_id,
1.73244e+09,8.34283e+08,0.00165563,0.524136,1.90639e-06,6.76383e-06,-0.00115054,0.00694552,0.999975,world,
1.73244e+09,9.33813e+08,0.00166123,0.524255,-2.98435e-06,5.1043e-06,-0.0011567,0.00696601,0.999975,world,
1.73244e+09,3.3741e+07,0.00166765,0.524396,-3.02323e-06,5.16888e-06,-0.00122532,0.0069871,0.999975,world,
1.73244e+09,1.34528e+08,0.00167153,0.524444,-2.91533e-06,7.28415e-06,-0.00119244,0.00700998,0.999975,world,
1.73244e+09,2.3498e+08,0.00167966,0.524639,-1.23983e-06,1.14306e-05,-0.00127875,0.00703526,0.999974,world,
1.73244e+09,3.33684e+08,0.00168734,0.524725,-2.26379e-06,1.16826e-05,-0.0012242,0.00707458,0.999974,world,
1.73244e+09,4.34225e+08,0.00169268,0.524822,-2.456e-06,6.50352e-06,-0.0011934,0.00709515,0.999974,world,
1.73244e+09,5.33912e+08,0.00170203,0.525017,1.94049e-06,7.40775e-06,-0.00123953,0.007133,0.999974,world,
1.73244e+09,6.33472e+08,0.00170393,0.525053,-2.86909e-06,7.52033e-06,-0.00116284,0.00713755,0.999974,world,
1.73244e+09,7.34321e+08,0.0017108,0.525225,-3.04006e-06,6.26475e-06,-0.00127249,0.00715775,0.999974,world,
1.73244e+09,8.33661e+08,0.00171794,0.52536,1.63421e-06,7.5073e-06,-0.00126675,0.00719069,0.999973,world,
1.73244e+09,9.34432e+08,0.00172128,0.525416,1.99138e-06,7.64e-06,-0.00123032,0.00720081,0.999973,world,
1.73244e+09,3.44656e+07,0.00173314,0.525628,1.50061e-06,7.48047e-06,-0.00125927,0.0072515,0.999973,world,
1.73244e+09,1.34192e+08,0.00173592,0.525679,1.97974e-06,7.1567e-06,-0.0011542,0.00726071,0.999973,world,
1.73244e+09,2.34443e+08,0.00174193,0.52582,1.91015e-06,7.9759e-06,-0.0012661,0.00727988,0.999973,world,
1.73244e+09,3.33684e+08,0.00175123,0.525975,-3.15975e-06,6.83931e-06,-0.00120683,0.00731999,0.999972,world,
1.73244e+09,4.34661e+08,0.00175361,0.526015,-3.61021e-06,5.70176e-06,-0.00125495,0.00733439,0.999972,world,
1.73244e+09,5.33883e+08,0.00176234,0.526208,-3.07474e-06,7.54136e-06,-0.00129206,0.00736165,0.999972,world,
1.73244e+09,6.33945e+08,0.00176776,0.526317,-2.94779e-06,9.61639e-06,-0.00128709,0.00738331,0.999972,world,
1.73244e+09,7.3455e+08,0.00177242,0.526393,1.93023e-06,7.66815e-06,-0.00120203,0.00740545,0.999972,world,
1.73244e+09,8.34395e+08,0.00178255,0.526582,1.91967e-06,7.49298e-06,-0.00117264,0.00744573,0.999972,world,
1.73244e+09,9.33829e+08,0.00178674,0.526649,2.12071e-06,7.74532e-06,-0.00120324,0.0074682,0.999971,world,
1.73244e+09,3.49374e+07,0.0017929,0.52677,2.04431e-06,7.67495e-06,-0.00118858,0.00749031,0.999971,world,
1.73244e+09,1.34271e+08,0.00180264,0.526957,-3.20416e-06,7.2537e-06,-0.00122346,0.00753221,0.999971,world,
1.73244e+09,2.34544e+08,0.00180337,0.526971,2.08079e-06,7.80849e-06,-0.00119956,0.0075336,0.999971,world,
1.73244e+09,3.34517e+08,0.00181308,0.527146,-3.07685e-06,4.44591e-06,-0.00122426,0.00757576,0.999971,world,
